model_types,model1,model2,mmd
ebm-dfs,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_ebm_model_95000.pt_1,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_100000.pt_1,0.00748637318611145
ebm-dfs,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_ebm_model_95000.pt_2,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_100000.pt_2,0.007607817649841309
